PriceUpdateDate,ItemCode,ItemType,ItemName,ManufacturerName,ManufactureCountry,ManufacturerItemDescription,UnitQty,Quantity,bIsWeighted,UnitOfMeasure,QtyInPackage,ItemPrice,UnitOfMeasurePrice,AllowDiscount,ItemStatus
"2017-02-07 08:11","16000423534","1","קראנצי שיבולת ושוקולד5יח","ג'נרל מילס","US","חטיף נייצ'ר ואלי","גרמים","210.00","0","100 גרם","0","21.90","10.43","1","1"
"2017-02-07 08:11","16000548404","1","חטיף נייטשר ואלי ש.שועל5","ג'נרל מילס","US","חטיף נייטשר ואלי","גרמים","210.00","0","100 גרם","0","21.90","10.43","1","1"
"2017-02-07 08:11","16000548503","1","נייטשר וואלי מייפל 5יח","ג'נרל מילס","US","חטיף נייטשר ואלי","גרמים","210.00","0","100 גרם","0","21.90","10.43","1","1"
"2017-02-07 08:11","16000548909","1","נייטשר וואלי גרנולה 5יח'","ג'נרל מילס","US","חטיף נייטשר ואלי","גרמים","210.00","0","100 גרם","0","21.90","10.43","1","1"
"2017-02-07 08:11","28200133502","1","מרלבורו רד קצר בוקס 10יח","פיליפ מוריס","IL","מרלבורו רד חבילה","יחידה","1.00","0","יחידה","0","329.90","329.90","0","1"
"2017-02-07 07:32","3014260214692","1","ג'ל גילוח סירייס 200C.Wמ","פרוקטר & גמבל","IL","ג'ל גילוח סירייס","מיליליטרים","200.00","0","100 מ""ל","0","17.90","8.95","1","1"
"2017-02-07 08:11","3023470001015","1","ביסקויט גאלט חמאה 150ג","סן מישל","FR","ביסקויט חמאה","גרמים","150.00","0","100 גרם","0","10.90","7.27","1","1"
"2017-02-07 08:11","3046920028004","1","שוק.אקסלנס מריר70% 100גר","לינדט ושפרונגלי קילשברג","FR","שוקולד אקסלנס","גרמים","100.00","0","100 גרם","0","18.20","18.20","1","1"
"2017-02-07 08:11","3046920028363","1","שוק.לינדט אקסלנס85% 100ג","לינדט ושפרונגלי קילשברג","FR","שוקולד לינדט 85%","גרמים","100.00","0","100 גרם","0","18.20","18.20","1","1"
"2017-02-07 08:11","3046920028370","1","שוק.לינדט אקסלנס תפוז100","לינדט ושפרונגלי קילשברג","CH","שוקולד לינדט","גרמים","100.00","0","100 גרם","0","18.20","18.20","1","1"
